Skill名称,功能描述,分类
svg-flowchart-designer,画图/图表/流程图/架构图/场景图/数据卡片/飞轮图/漫画/信息图，支持SVG或HTML输出，13种子类型,内容创作生产
kuaishou-sso-login,快手SSO登录自动化，支持KIM扫码/短信验证/账号密码三种方式，自动处理两步验证,平台工具集成
kwaibi-data-query,查询快手内网KwaiBI（天策）看板数据，支持OLAP/洞察/Dashboard等多种看板类型,数据查询分析
awesome-skillhub,教会Agent如何使用SkillHub来寻找/下载/上传/更新/卸载Skill的技能指南,平台工具集成
docs-shuttle,快手内网Docs文档与本地Markdown双向同步工具,平台工具集成
坑来,查询快手工区内指定楼层是否有空闲卫生间蹲便/坐便,生活娱乐整活
hive-data-agent,Hive数据智能查询助手，自动访问天工Data Agent分析Hive表/血缘/产出逻辑,数据查询分析
group-assistant,智能群聊助手，自动监听并回复@消息，支持上下文理解和AI生成回复,内部流程自动化
autoglm-phone-openclaw,编排本地设备和云真机复合移动端测试任务，支持Keep Build安装/App登录/多机并发,测试质量保障
kwaibi-da,快手数据分析师专业版，支持深度数据分析/多业务场景/自动化报告，覆盖KwaiBI/天策/多比/启源等平台,数据查询分析
self-improvement,捕获学习内容/错误和纠正以实现持续改进，Agent自我进化,平台工具集成
kwaibi-auto-report,KwaiBI看板数据自动查询与分析报告生成，支持OLAP/洞察模式/Dashboard,数据查询分析
skill-quality-evaluator,生成功能测试(10-15用例)和触发测试(25用例)，含精确率/召回率/F1分数评估,测试质量保障
phone-control,操控安卓/iOS手机，提供ADB/WDA截图压缩/视觉识别/点击滑动输入,测试质量保障
kwai-app-test,多设备并行快手APP自动化测试，支持鸿蒙(hdc)/iPhone(ios)/Android(adb),测试质量保障
skill-vetting,安装前审查ClawHub技能的安全性和实用性,安全合规
abtest,快手AB实验平台官方SKILL，贴分析页链接一键分析，支持CUPED/DiD/推全决策/异常检测,数据查询分析
miniapp-kwaibi-data-explorer,快手小程序团队KwaiBI数据查询，监控启动质量/Crash率/支付失败率等,数据查询分析
kwai-skill-vetter,快手信息安全部Skill审查工具，强制加载不可卸载，安装任何Skill前必须使用,安全合规
kconf使用,使用Kconf（快手配置中心）声明和消费动态配置，创建配置DTO,研发工程效率
hungry-helper,老铁食堂助手，获取内网餐厅菜品数据并提供每日用餐推荐,生活娱乐整活
fancy-praise,花式彩虹屁生成器，根据对象和事件生成夸奖文案并通过KIM直接发送，支持古风/热梗/沙雕等风格,生活娱乐整活
tianwen-monitor-query,查询天问（Tianwen）监控平台的监控曲线数值和变化趋势,数据查询分析
dibar-word-optimization,快手底bar词优化/改写工具，剔除负向/敏感表达，参考心智词库,内容创作生产
universal-autotest-batch-trigger,批量触发UniversalAutoTest自动化测试任务，智能识别海外/主站Agent类型,测试质量保障
agent-browser,浏览器自动化CLI，支持页面交互/表单填写/截图/数据抓取,平台工具集成
Vision Animation Code Generation,动画生码Skill，通过Vision MCP生成Lottie动画前端代码（SolidTK/KRN/CSS）,研发工程效率
meeting-room-booker,自动预约快手Kim会议室，支持定时预约/节假日跳过/失败重试/群通知,内部流程自动化
快手总部正式休假申请助手,自动化请假，支持年假/调休/病假，自然语言日期解析，自动SSO登录提交,生活娱乐整活
meeting-checkin-monitor,会议室签到检测与自动释放，忘记签到自动释放,内部流程自动化
kce-debug,KCE容器调试工具，通过relay bastion连接KCE容器排查问题,研发工程效率
codeflicker-cross-session-memory,跨session记忆管理，将关键信息保存到topic并在新会话加载,平台工具集成
phone_device_profile_score,查询快手机型画像平台，返回综合分/CPU分/GPU分/SOC分数/档位/设备占比,数据查询分析
abtest-sgp,快手海外（新加坡）AB实验平台SKILL，国内abtest的海外补充版,数据查询分析
codeflicker-token-status,查看CodeFlicker token用量统计，分析近期token消耗,平台工具集成
find-skills-update,帮助发现并安装Agent技能，搜索优先级：内网SkillHub > clawhub.ai > LangBridge,平台工具集成
dispute-customer-service-expert,电商纠纷客服指导专家，处理发货错误/质量/物流/退换货等场景,业务电商客服
project-ko,项目KO助手，交互式问答帮助完成项目KO准备，提供尖锐的专业评估与挑战,内部流程自动化
marketing-query-v3,营销查询最终版，支持活动/优惠/用户持券/营销操作流水等联合排查,业务电商客服
